out1	truth	
-4,0659e+02	-6,0000e+02	
-3,5818e+02	-7,0000e+02	
-4,1777e+02	-8,0000e+02	
-5,2513e+02	-9,0000e+02	
-4,2719e+02	-8,0000e+02	
-3,7034e+02	-8,0000e+02	
-2,3598e+02	-7,0000e+02	
 1,8570e+01	-6,0000e+02	
 2,1279e+02	-4,0000e+02	
 4,1471e+02	-2,0000e+02	
 4,0277e+02	-1,0000e+02	
 6,0667e+02	 1,0000e+02	
 6,3792e+02	 2,0000e+02	
 8,0718e+02	 4,0000e+02	
 8,0075e+02	 5,0000e+02	
 9,2769e+02	 7,0000e+02	
 1,0136e+03	 8,0000e+02	
 1,0865e+03	 9,0000e+02	
 1,0768e+03	 1,0000e+03	
 1,0545e+03	 1,0000e+03	
 1,0204e+03	 1,0000e+03	
 7,1894e+02	 8,0000e+02	
 6,0251e+02	 7,0000e+02	
 4,5606e+02	 4,0000e+02	
